URI (do not change)	Name (do not change)	Status (empty=Public)	Label	Suggested Label	Comment	Suggested Comment	Lydie's comment	Source file
http://nextprot.org/rdf/db/ABCD	db/ABCD		ABCD	ABCD	ABCD curated depository of sequenced antibodies	ABCD curated depository of sequenced antibodies	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/AGD	db/AGD	private	AGD	AGD	Ashbya genome database	Ashbya genome database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ANU-2DPAGE	db/ANU-2DPAGE	private	ANU-2DPAGE	ANU-2DPAGE	Australian National University 2-DE database	Australian National University 2-DE database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ATCC	db/ATCC	private	ATCC	ATCC	ATCC	ATCC	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Aarhus_Ghent-2DPAGE	db/Aarhus_Ghent-2DPAGE	private	Aarhus/Ghent-2DPAGE	Aarhus/Ghent-2DPAGE	Human keratinocyte 2D gel protein database from Aarhus and Ghent universities	Human keratinocyte 2D gel protein database from Aarhus and Ghent universities	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Affymetrix	db/Affymetrix		Affymetrix	Affymetrix	Identifier subtype	Affymetrix microarray clone identifier	Affymetrix microarray probe sets	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Allergome	db/Allergome		Allergome	Allergome	Allergome; a platform for allergen knowledge	Allergome; a platform for allergen knowledge	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Antibodypedia	db/Antibodypedia		Antibodypedia	Antibodypedia	Antibodypedia a portal for validated antibodies	Antibodypedia a portal for validated antibodies	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/AraC-XylS	db/AraC-XylS	private	AraC-XylS	AraC-XylS	AraC-XylS; a database on a family of Helix-Turn-Helix transcription factors from bacteria	AraC-XylS; a database on a family of Helix-Turn-Helix transcription factors from bacteria	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ArachnoServer	db/ArachnoServer	private	ArachnoServer	ArachnoServer	ArachnoServer: Spider toxin database	ArachnoServer: Spider toxin database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Araport	db/Araport	private	Araport	Araport	Arabidopsis Information Portal	Arabidopsis Information Portal	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Array-probeset	db/Array-probeset	private	Array-probeset	Array-probeset	Location and trancripts associated with probe features	Location and trancripts associated with probe features	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BCGO	db/BCGO	private	BCGO	BCGO	Beta Cell Genomics Ontology	Beta Cell Genomics Ontology	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BCRC	db/BCRC	private	BCRC	BCRC	Taiwan Bioresource Collection and Research Center	Taiwan Bioresource Collection and Research Center	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BCRJ	db/BCRJ	private	BCRJ	BCRJ	Rio de Janeiro Cell Bank	Rio de Janeiro Cell Bank	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BMRB	db/BMRB		BMRB	BMRB	Biological Magnetic Resonance Data Bank	Biological Magnetic Resonance Data Bank	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BRENDA	db/BRENDA		BRENDA	BRENDA	BRENDA Comprehensive Enzyme Information System	BRENDA Comprehensive Enzyme Information System	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Bgee	db/Bgee		Bgee	Bgee	Bgee dataBase for Gene Expression Evolution	Bgee database of gene expression across multiple animal species 	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BindingDB	db/BindingDB		BindingDB	BindingDB	BindingDB database of measured binding affinities	BindingDB database of measured binding affinities	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BioCyc	db/BioCyc		BioCyc	BioCyc	BioCyc Collection of Pathway/Genome Databases	BioCyc Collection of Pathway/Genome Databases	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BioGRID	db/BioGRID		BioGRID	BioGRID	The Biological General Repository for Interaction Datasets (BioGRID)	The Biological General Repository for Interaction Datasets (BioGRID)	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BioGRID-ORCS	db/BioGRID-ORCS		BioGRID-ORCS	BioGRID-ORCS	BioGRID ORCS database of CRISPR phenotype screens	BioGRID ORCS database of CRISPR phenotype screens	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BioMuta	db/BioMuta		BioMuta	BioMuta	BioMuta curated single-nucleotide variation and disease association database	BioMuta curated single-nucleotide variation and disease association database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BioSample	db/BioSample	private	BioSample	BioSample	BioSample database	BioSample database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/BuruList	db/BuruList	private	BuruList	BuruList	Mycobacterium ulcerans genome database	Mycobacterium ulcerans genome database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CATH	db/CATH	private	CATH	CATH	Hierarchical domain classification of protein structures	Hierarchical domain classification of protein structures	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CAZy	db/CAZy		CAZy	CAZy	Carbohydrate-Active enZymes	Carbohydrate-Active enZymes	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CBA	db/CBA	private	CBA	CBA	Japanese Collection of Research Bioresources	Japanese Collection of Research Bioresources	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CCDS	db/CCDS		CCDS	CCDS	The Consensus CDS (CCDS) project	The Consensus CDS (CCDS) project	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CCLE	db/CCLE	private	CCLE	CCLE	Cancer Cell Line Encyclopedia	Cancer Cell Line Encyclopedia	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CCLV	db/CCLV	private	CCLV	CCLV	Collection of Cell Lines in Veterinary Medicine	Collection of Cell Lines in Veterinary Medicine	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CCRID	db/CCRID	private	CCRID	CCRID	Cell resource platform	Cell resource platform	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CDD	db/CDD		CDD	CDD	Conserved Domains Database	Conserved Domains Database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CGD	db/CGD	private	CGD	CGD	Candida Genome Database	Candida Genome Database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CGH-DB	db/CGH-DB	private	CGH-DB	CGH-DB	CGH Data Base	CGH Data Base	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CL	db/CL	private	CL	CL	Cell Ontology	Cell Ontology	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CLAE	db/CLAE	private	CLAE	CLAE	CLAE, a database of fungal genes encoding lignocellulose-active proteins	CLAE, a database of fungal genes encoding lignocellulose-active proteins	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CLDB	db/CLDB	private	CLDB	CLDB	Cell Line Data Base of the Interlab Project.	Cell Line Data Base of the Interlab Project.	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CLO	db/CLO	private	CLO	CLO	Community-based Cell Line Ontology	Community-based Cell Line Ontology	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CLS	db/CLS	private	CLS	CLS	Cell Lines Service	Cell Lines Service	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CMR	db/CMR	private	CMR	CMR	Comprehensive Microbial Resource	Comprehensive Microbial Resource	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/COMPLUYEAST-2DPAGE	db/COMPLUYEAST-2DPAGE	private	COMPLUYEAST-2DPAGE	COMPLUYEAST-2DPAGE	2-DE database at Universidad Complutense de Madrid	2-DE database at Universidad Complutense de Madrid	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CORUM	db/CORUM		CORUM	CORUM	CORUM comprehensive resource of mammalian protein complexes	CORUM comprehensive resource of mammalian protein complexes	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CPTAC	db/CPTAC		CPTAC	CPTAC	The CPTAC Assay portal	The CPTAC Assay portal	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CPTC	db/CPTC		CPTC	CPTC	The CPTC Antibody Portal	The CPTC Antibody Portal	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CTD	db/CTD		CTD	CTD	Comparative Toxicogenomics Database	Comparative Toxicogenomics Database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CYGD	db/CYGD	private	CYGD	CYGD	Comprehensive Yeast Genome Database	Comprehensive Yeast Genome Database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CarbonylDB	db/CarbonylDB		CarbonylDB	CarbonylDB	CarbonylDB database of protein carbonylation sites	CarbonylDB database of protein carbonylation sites	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Cellosaurus	db/Cellosaurus	private	Cellosaurus	Cellosaurus	Cellosaurus	Cellosaurus knowledge resource on cell lines	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ChEBI	db/ChEBI		ChEBI	ChEBI	Chemical Entities of Biological Interest	Chemical Entities of Biological Interest	No longer listed as a cross-referenced database in Uniprot	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ChEMBL	db/ChEMBL		ChEMBL	ChEMBL	ChEMBL database of bioactive drug-like small molecules	ChEMBL database of bioactive drug-like small molecules	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ChEMBL-Cells	db/ChEMBL-Cells	private	ChEMBL-Cells	ChEMBL-Cells	ChEMBL database of bioactive drug-like small molecules - Cell lines section	ChEMBL database of bioactive drug-like small molecules - Cell lines section	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ChEMBL-Targets	db/ChEMBL-Targets	private	ChEMBL-Targets	ChEMBL-Targets	ChEMBL database of bioactive drug-like small molecules - Targets section	ChEMBL database of bioactive drug-like small molecules - Targets section	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ChiTaRS	db/ChiTaRS		ChiTaRS	ChiTaRS	ChiTaRS: a database of human, mouse and fruit fly chimeric transcripts and RNA-sequencing data	ChiTaRS: a database of human, mouse and fruit fly chimeric transcripts and RNA-sequencing data	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CleanEx	db/CleanEx	private	CleanEx	CleanEx	CleanEx database of gene expression profiles	CleanEx database of gene expression profiles	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Clinvar	db/Clinvar	private	Clinvar	Clinvar	Clinvar	Clinvar	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/CollecTF	db/CollecTF	private	CollecTF	CollecTF	CollecTF database of bacterial transcription factor binding sites	CollecTF database of bacterial transcription factor binding sites	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ComplexPortal	db/ComplexPortal		ComplexPortal	ComplexPortal	ComplexPortal: manually curated resource of macromolecular complexes	ComplexPortal: manually curated resource of macromolecular complexes	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ConoServer	db/ConoServer	private	ConoServer	ConoServer	ConoServer: Cone snail toxin database	ConoServer: Cone snail toxin database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Coriell	db/Coriell	private	Coriell	Coriell	Coriell Cell Repositories	Coriell Cell Repositories	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Cornea-2DPAGE	db/Cornea-2DPAGE	private	Cornea-2DPAGE	Cornea-2DPAGE	Human Cornea 2-DE database	Human Cornea 2-DE database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Cosmic	db/Cosmic		Cosmic	Cosmic	Sanger institute	COSMIC, the Catalogue Of Somatic Mutations In Cancer	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Cosmic-CLP	db/Cosmic-CLP	private	Cosmic-CLP	Cosmic-CLP	COSMIC Cell lines Project	COSMIC Cell lines Project	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DDBJ	db/DDBJ	private?	DDBJ	DDBJ	DNA Data Bank of Japan; a nucleotide sequence database	DNA Data Bank of Japan; a nucleotide sequence database	not used but mentioned in entries as "EMBL/GenBank/DDBJ databases" i.e. FGL2	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DECIPHER	db/DECIPHER		DECIPHER	DECIPHER	DECIPHER - Mapping the clinical genome	DECIPHER - Mapping the clinical genome	No longer used in Uniprot - up-to-date?	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DEPOD	db/DEPOD		DEPOD	DEPOD	DEPOD human dephosphorylation database	DEPOD human dephosphorylation database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DGRC	db/DGRC	private	DGRC	DGRC	Drosophila Genomics Resource Center	Drosophila Genomics Resource Center	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DIP	db/DIP		DIP	DIP	Database of interacting proteins	Database of interacting proteins	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DKFZ	db/DKFZ		DKFZ	DKFZ	Identifier subtype	DKFZ (Deutsches Krebsforschungszentrum) identifier	human ORFeome resource from DKFZ (Deutsches Krebsforschungszentrum) 	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DMDM	db/DMDM		DMDM	DMDM	Domain mapping of disease mutations (DMDM)	Domain mapping of disease mutations (DMDM)	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DNASU	db/DNASU		DNASU	DNASU	The DNASU plasmid repository	The DNASU plasmid repository	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DOI	db/DOI		DOI	DOI	DOI resolving site	Digital Object Identifier	Pam to check	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DOSAC-COBS-2DPAGE	db/DOSAC-COBS-2DPAGE		DOSAC-COBS-2DPAGE	DOSAC-COBS-2DPAGE	DOSAC-COBS 2D-PAGE database	DOSAC-COBS 2D-PAGE database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DSMZ	db/DSMZ	private	DSMZ	DSMZ	DSMZ-German collection of microorganisms and cell culture	DSMZ-German collection of microorganisms and cell culture	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DYP	db/DYP		DYP	DYP	The Kahn Dynamic Proteomics project	The Kahn Dynamic Proteomics Database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Dharmacon	db/Dharmacon	private	Dharmacon	Dharmacon	Dharmacon RNAi oligos	Dharmacon RNAi oligos	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DisGeNET	db/DisGeNET		DisGeNET	DisGeNET	DisGeNET	DisGeNET, a database of gene-disease associations	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DisProt	db/DisProt		DisProt	DisProt	Database of protein disorder	Database of protein disorder	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DrugBank	db/DrugBank		DrugBank	DrugBank	Drug and drug target database	Drug and drug target database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/DrugCentral	db/DrugCentral		DrugCentral	DrugCentral	DrugCentral	DrugCentral	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EBiSC	db/EBiSC	private	EBiSC	EBiSC	European Bank for induced pluripotent Stem Cells	European Bank for induced pluripotent Stem Cells	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ECACC	db/ECACC	private	ECACC	ECACC	European Collection of Cell Cultures (ECACC)	European Collection of Cell Cultures (ECACC)	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ECO	db/ECO	private	ECO	ECO	Evidences code ontology	Ontology of evidence and assertion methods	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ECO2DBASE	db/ECO2DBASE	private	ECO2DBASE	ECO2DBASE	Escherichia coli gene-protein database; a 2-DE gel database	Escherichia coli gene-protein database; a 2-DE gel database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EFO	db/EFO	private	EFO	EFO	Experimental Factor Ontology	Experimental Factor Ontology	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ELM	db/ELM		ELM	ELM	The Eukaryotic Linear Motif resource for Functional Sites in Proteins	The Eukaryotic Linear Motif resource for Functional Sites in Proteins	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EMBL	db/EMBL		EMBL	EMBL	EMBL nucleotide sequence database	EMBL nucleotide sequence database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EMBL-CDS	db/EMBL-CDS		EMBL-CDS	EMBL-CDS	EMBL coding sequence (CDS) database	EMBL coding sequence (CDS) database	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ENCODE	db/ENCODE	private	ENCODE	ENCODE	Encyclopedia of DNA Elements	Encyclopedia of DNA Elements	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ENZYME	db/ENZYME	private	ENZYME	ENZYME	Enzyme nomenclature database	Enzyme nomenclature database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EPD	db/EPD		EPD	EPD	Encyclopedia of Proteome Dynamics	Encyclopedia of Proteome Dynamics	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EPODOC	db/EPODOC	private	EPODOC	EPODOC	Europeen patent office database	Europeen patent office database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ESTDAB	db/ESTDAB	private	ESTDAB	ESTDAB	European Searchable Tumour Line Database	European Searchable Tumour Line Database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ESTHER	db/ESTHER		ESTHER	ESTHER	ESTHER database of the Alpha/Beta-hydrolase fold superfamily of proteins	ESTHER database of the Alpha/Beta-hydrolase fold superfamily of proteins	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EchoBASE	db/EchoBASE	private	EchoBASE	EchoBASE	EchoBASE - an integrated post-genomic database for E. coli	EchoBASE - an integrated post-genomic database for E. coli	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EcoGene	db/EcoGene	private	EcoGene	EcoGene	Escherichia coli strain K12 genome database	Escherichia coli strain K12 genome database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/Ensembl	db/Ensembl		Ensembl	Ensembl	Ensembl eukaryotic genome annotation project	Ensembl eukaryotic genome annotation project	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EnsemblBacteria	db/EnsemblBacteria	private	EnsemblBacteria	EnsemblBacteria	Ensembl bacterial and archaeal genome annotation project	Ensembl bacterial and archaeal genome annotation project	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EnsemblFungi	db/EnsemblFungi	private	EnsemblFungi	EnsemblFungi	Ensembl fungal genome annotation project	Ensembl fungal genome annotation project	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EnsemblMetazoa	db/EnsemblMetazoa	private	EnsemblMetazoa	EnsemblMetazoa	Ensembl metazoan genome annotation project	Ensembl metazoan genome annotation project	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EnsemblPlants	db/EnsemblPlants	private	EnsemblPlants	EnsemblPlants	Ensembl plant genome annotation project	Ensembl plant genome annotation project	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EnsemblProtists	db/EnsemblProtists	private	EnsemblProtists	EnsemblProtists	Ensembl protists genome annotation project	Ensembl protists genome annotation project	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/EvolutionaryTrace	db/EvolutionaryTrace		EvolutionaryTrace	EvolutionaryTrace	Relative evolutionary importance of amino acids within a protein sequence	Relative evolutionary importance of amino acids within a protein sequence	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/ExpressionAtlas	db/ExpressionAtlas		ExpressionAtlas	ExpressionAtlas	ExpressionAtlas, Differential and Baseline Expression	ExpressionAtlas, Differential and Baseline Expression	OK	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/FLJ	db/FLJ		FLJ	FLJ	Identifier subtype	FLJ identifier	FLJ Human cDNA Database	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/FMA	db/FMA	private	FMA	FMA	Foundational Model of Anatomy	Foundational Model of Anatomy	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
http://nextprot.org/rdf/db/FlyBase	db/FlyBase	private	FlyBase	FlyBase	Drosophila genome database	Drosophila genome database	OK not used	uniprot|controlled-vocabulary/more-dbxrefs.txt
